crimes,temp,type
25,8,"INTERFERENCE WITH PUBLIC OFFICER"
4,8,INTIMIDATION
3,8,KIDNAPPING
3,8,"LIQUOR LAW VIOLATION"
235,8,"MOTOR VEHICLE THEFT"
394,8,NARCOTICS
33,8,"OFFENSE INVOLVING CHILDREN"
332,8,"OTHER OFFENSE"
10,8,PROSTITUTION
40,8,"PUBLIC PEACE VIOLATION"
201,8,ROBBERY
14,8,"SEX OFFENSE"
5,8,STALKING
1139,8,THEFT
52,8,"WEAPONS VIOLATION"
3,9,ARSON
273,9,ASSAULT
813,9,BATTERY
233,9,BURGLARY
2,9,"CONCEALED CARRY LICENSE VIOLATION"
29,9,"CRIM SEXUAL ASSAULT"
430,9,"CRIMINAL DAMAGE"
145,9,"CRIMINAL TRESPASS"
270,9,"DECEPTIVE PRACTICE"
1,9,GAMBLING
4,9,HOMICIDE
13,9,"INTERFERENCE WITH PUBLIC OFFICER"
1,9,INTIMIDATION
3,9,KIDNAPPING
5,9,"LIQUOR LAW VIOLATION"
239,9,"MOTOR VEHICLE THEFT"
399,9,NARCOTICS
1,9,OBSCENITY
36,9,"OFFENSE INVOLVING CHILDREN"
358,9,"OTHER OFFENSE"
18,9,PROSTITUTION
29,9,"PUBLIC PEACE VIOLATION"
173,9,ROBBERY
13,9,"SEX OFFENSE"
3,9,STALKING
908,9,THEFT
40,9,"WEAPONS VIOLATION"
7,10,ARSON
373,10,ASSAULT
1091,10,BATTERY
353,10,BURGLARY
1,10,"CONCEALED CARRY LICENSE VIOLATION"
30,10,"CRIM SEXUAL ASSAULT"
606,10,"CRIMINAL DAMAGE"
172,10,"CRIMINAL TRESPASS"
384,10,"DECEPTIVE PRACTICE"
7,10,HOMICIDE
1,10,"HUMAN TRAFFICKING"
33,10,"INTERFERENCE WITH PUBLIC OFFICER"
3,10,INTIMIDATION
4,10,KIDNAPPING
5,10,"LIQUOR LAW VIOLATION"
291,10,"MOTOR VEHICLE THEFT"
760,10,NARCOTICS
1,10,"NON - CRIMINAL"
75,10,"OFFENSE INVOLVING CHILDREN"
496,10,"OTHER OFFENSE"
30,10,PROSTITUTION
47,10,"PUBLIC PEACE VIOLATION"
252,10,ROBBERY
18,10,"SEX OFFENSE"
1,10,STALKING
1388,10,THEFT
80,10,"WEAPONS VIOLATION"
14,11,ARSON
556,11,ASSAULT
1604,11,BATTERY
538,11,BURGLARY
83,11,"CRIM SEXUAL ASSAULT"
850,11,"CRIMINAL DAMAGE"
239,11,"CRIMINAL TRESPASS"
553,11,"DECEPTIVE PRACTICE"
2,11,GAMBLING
7,11,HOMICIDE
1,11,"HUMAN TRAFFICKING"
35,11,"INTERFERENCE WITH PUBLIC OFFICER"
4,11,INTIMIDATION
3,11,KIDNAPPING
13,11,"LIQUOR LAW VIOLATION"
492,11,"MOTOR VEHICLE THEFT"
929,11,NARCOTICS
1,11,NON-CRIMINAL
1,11,OBSCENITY
146,11,"OFFENSE INVOLVING CHILDREN"
720,11,"OTHER OFFENSE"
56,11,PROSTITUTION
66,11,"PUBLIC PEACE VIOLATION"
380,11,ROBBERY
52,11,"SEX OFFENSE"
8,11,STALKING
2169,11,THEFT
125,11,"WEAPONS VIOLATION"
13,12,ARSON
677,12,ASSAULT
1978,12,BATTERY
666,12,BURGLARY
47,12,"CRIM SEXUAL ASSAULT"
1031,12,"CRIMINAL DAMAGE"
304,12,"CRIMINAL TRESPASS"
673,12,"DECEPTIVE PRACTICE"
4,12,GAMBLING
15,12,HOMICIDE
1,12,"HUMAN TRAFFICKING"
36,12,"INTERFERENCE WITH PUBLIC OFFICER"
7,12,INTIMIDATION
10,12,KIDNAPPING
11,12,"LIQUOR LAW VIOLATION"
669,12,"MOTOR VEHICLE THEFT"
959,12,NARCOTICS
1,12,NON-CRIMINAL
4,12,OBSCENITY
100,12,"OFFENSE INVOLVING CHILDREN"
1,12,"OTHER NARCOTIC VIOLATION"
802,12,"OTHER OFFENSE"
45,12,PROSTITUTION
81,12,"PUBLIC PEACE VIOLATION"
492,12,ROBBERY
38,12,"SEX OFFENSE"
10,12,STALKING
2480,12,THEFT
136,12,"WEAPONS VIOLATION"
9,13,ARSON
424,13,ASSAULT
1277,13,BATTERY
425,13,BURGLARY
2,13,"CONCEALED CARRY LICENSE VIOLATION"
25,13,"CRIM SEXUAL ASSAULT"
714,13,"CRIMINAL DAMAGE"
212,13,"CRIMINAL TRESPASS"
450,13,"DECEPTIVE PRACTICE"
1,13,GAMBLING
12,13,HOMICIDE
30,13,"INTERFERENCE WITH PUBLIC OFFICER"
3,13,INTIMIDATION
6,13,KIDNAPPING
10,13,"LIQUOR LAW VIOLATION"
375,13,"MOTOR VEHICLE THEFT"
783,13,NARCOTICS
53,13,"OFFENSE INVOLVING CHILDREN"
1,13,"OTHER NARCOTIC VIOLATION"
555,13,"OTHER OFFENSE"
36,13,PROSTITUTION
45,13,"PUBLIC PEACE VIOLATION"
325,13,ROBBERY
22,13,"SEX OFFENSE"
4,13,STALKING
1763,13,THEFT
90,13,"WEAPONS VIOLATION"
22,14,ARSON
991,14,ASSAULT
2949,14,BATTERY
927,14,BURGLARY
2,14,"CONCEALED CARRY LICENSE VIOLATION"
82,14,"CRIM SEXUAL ASSAULT"
1525,14,"CRIMINAL DAMAGE"
431,14,"CRIMINAL TRESPASS"
1092,14,"DECEPTIVE PRACTICE"
7,14,GAMBLING
34,14,HOMICIDE
1,14,"HUMAN TRAFFICKING"
67,14,"INTERFERENCE WITH PUBLIC OFFICER"
7,14,INTIMIDATION
14,14,KIDNAPPING
29,14,"LIQUOR LAW VIOLATION"
906,14,"MOTOR VEHICLE THEFT"
1681,14,NARCOTICS
1,14,"NON - CRIMINAL"
1,14,NON-CRIMINAL
2,14,OBSCENITY
148,14,"OFFENSE INVOLVING CHILDREN"
1188,14,"OTHER OFFENSE"
90,14,PROSTITUTION
109,14,"PUBLIC PEACE VIOLATION"
661,14,ROBBERY
57,14,"SEX OFFENSE"
8,14,STALKING
3633,14,THEFT
204,14,"WEAPONS VIOLATION"
10,15,ARSON
518,15,ASSAULT
1540,15,BATTERY
483,15,BURGLARY
1,15,"CONCEALED CARRY LICENSE VIOLATION"
30,15,"CRIM SEXUAL ASSAULT"
887,15,"CRIMINAL DAMAGE"
243,15,"CRIMINAL TRESPASS"
436,15,"DECEPTIVE PRACTICE"
2,15,GAMBLING
10,15,HOMICIDE
31,15,"INTERFERENCE WITH PUBLIC OFFICER"
4,15,INTIMIDATION
5,15,KIDNAPPING
14,15,"LIQUOR LAW VIOLATION"
441,15,"MOTOR VEHICLE THEFT"
978,15,NARCOTICS
1,15,NON-CRIMINAL
78,15,"OFFENSE INVOLVING CHILDREN"
528,15,"OTHER OFFENSE"
44,15,PROSTITUTION
56,15,"PUBLIC PEACE VIOLATION"
324,15,ROBBERY
32,15,"SEX OFFENSE"
5,15,STALKING
1796,15,THEFT
86,15,"WEAPONS VIOLATION"
10,16,ARSON
490,16,ASSAULT
1602,16,BATTERY
546,16,BURGLARY
56,16,"CRIM SEXUAL ASSAULT"
870,16,"CRIMINAL DAMAGE"
289,16,"CRIMINAL TRESPASS"
585,16,"DECEPTIVE PRACTICE"
3,16,GAMBLING
15,16,HOMICIDE
33,16,"INTERFERENCE WITH PUBLIC OFFICER"
1,16,INTIMIDATION
7,16,KIDNAPPING
16,16,"LIQUOR LAW VIOLATION"
480,16,"MOTOR VEHICLE THEFT"
1102,16,NARCOTICS
1,16,NON-CRIMINAL
4,16,OBSCENITY
112,16,"OFFENSE INVOLVING CHILDREN"
726,16,"OTHER OFFENSE"
65,16,PROSTITUTION
1,16,"PUBLIC INDECENCY"
90,16,"PUBLIC PEACE VIOLATION"
353,16,ROBBERY
42,16,"SEX OFFENSE"
4,16,STALKING
2033,16,THEFT
109,16,"WEAPONS VIOLATION"
15,17,ARSON
664,17,ASSAULT
2115,17,BATTERY
815,17,BURGLARY
1,17,"CONCEALED CARRY LICENSE VIOLATION"
48,17,"CRIM SEXUAL ASSAULT"
1151,17,"CRIMINAL DAMAGE"
347,17,"CRIMINAL TRESPASS"
613,17,"DECEPTIVE PRACTICE"
1,17,GAMBLING
21,17,HOMICIDE
42,17,"INTERFERENCE WITH PUBLIC OFFICER"
6,17,INTIMIDATION
5,17,KIDNAPPING
14,17,"LIQUOR LAW VIOLATION"
706,17,"MOTOR VEHICLE THEFT"
1390,17,NARCOTICS
2,17,OBSCENITY
100,17,"OFFENSE INVOLVING CHILDREN"
891,17,"OTHER OFFENSE"
62,17,PROSTITUTION
82,17,"PUBLIC PEACE VIOLATION"
492,17,ROBBERY
24,17,"SEX OFFENSE"
10,17,STALKING
2754,17,THEFT
124,17,"WEAPONS VIOLATION"
15,18,ARSON
605,18,ASSAULT
1993,18,BATTERY
665,18,BURGLARY
2,18,"CONCEALED CARRY LICENSE VIOLATION"
68,18,"CRIM SEXUAL ASSAULT"
1064,18,"CRIMINAL DAMAGE"
293,18,"CRIMINAL TRESPASS"
620,18,"DECEPTIVE PRACTICE"
3,18,GAMBLING
14,18,HOMICIDE
2,18,"HUMAN TRAFFICKING"
35,18,"INTERFERENCE WITH PUBLIC OFFICER"
5,18,INTIMIDATION
11,18,KIDNAPPING
18,18,"LIQUOR LAW VIOLATION"
591,18,"MOTOR VEHICLE THEFT"
1204,18,NARCOTICS
3,18,OBSCENITY
151,18,"OFFENSE INVOLVING CHILDREN"
777,18,"OTHER OFFENSE"
62,18,PROSTITUTION
85,18,"PUBLIC PEACE VIOLATION"
391,18,ROBBERY
75,18,"SEX OFFENSE"
9,18,STALKING
2421,18,THEFT
127,18,"WEAPONS VIOLATION"
12,19,ARSON
824,19,ASSAULT
2186,19,BATTERY
800,19,BURGLARY
3,19,"CONCEALED CARRY LICENSE VIOLATION"
66,19,"CRIM SEXUAL ASSAULT"
1182,19,"CRIMINAL DAMAGE"
415,19,"CRIMINAL TRESPASS"
700,19,"DECEPTIVE PRACTICE"
4,19,GAMBLING
17,19,HOMICIDE
41,19,"INTERFERENCE WITH PUBLIC OFFICER"
10,19,INTIMIDATION
17,19,KIDNAPPING
14,19,"LIQUOR LAW VIOLATION"
641,19,"MOTOR VEHICLE THEFT"
1294,19,NARCOTICS
1,19,"NON-CRIMINAL (SUBJECT SPECIFIED)"
2,19,OBSCENITY
108,19,"OFFENSE INVOLVING CHILDREN"
922,19,"OTHER OFFENSE"
73,19,PROSTITUTION
94,19,"PUBLIC PEACE VIOLATION"
512,19,ROBBERY
40,19,"SEX OFFENSE"
9,19,STALKING
2836,19,THEFT
160,19,"WEAPONS VIOLATION"
26,20,ARSON
1060,20,ASSAULT
2883,20,BATTERY
1015,20,BURGLARY
3,20,"CONCEALED CARRY LICENSE VIOLATION"
78,20,"CRIM SEXUAL ASSAULT"
1609,20,"CRIMINAL DAMAGE"
501,20,"CRIMINAL TRESPASS"
871,20,"DECEPTIVE PRACTICE"
5,20,GAMBLING
27,20,HOMICIDE
50,20,"INTERFERENCE WITH PUBLIC OFFICER"
2,20,INTIMIDATION
17,20,KIDNAPPING
29,20,"LIQUOR LAW VIOLATION"
916,20,"MOTOR VEHICLE THEFT"
1916,20,NARCOTICS
1,20,NON-CRIMINAL
1,20,OBSCENITY
125,20,"OFFENSE INVOLVING CHILDREN"
1169,20,"OTHER OFFENSE"
117,20,PROSTITUTION
91,20,"PUBLIC PEACE VIOLATION"
680,20,ROBBERY
45,20,"SEX OFFENSE"
14,20,STALKING
3755,20,THEFT
208,20,"WEAPONS VIOLATION"
22,21,ARSON
1278,21,ASSAULT
3755,21,BATTERY
1235,21,BURGLARY
2,21,"CONCEALED CARRY LICENSE VIOLATION"
84,21,"CRIM SEXUAL ASSAULT"
2000,21,"CRIMINAL DAMAGE"
596,21,"CRIMINAL TRESPASS"
1175,21,"DECEPTIVE PRACTICE"
4,21,GAMBLING
34,21,HOMICIDE
80,21,"INTERFERENCE WITH PUBLIC OFFICER"
6,21,INTIMIDATION
13,21,KIDNAPPING
27,21,"LIQUOR LAW VIOLATION"
1041,21,"MOTOR VEHICLE THEFT"
2197,21,NARCOTICS
1,21,"NON - CRIMINAL"
1,21,NON-CRIMINAL
5,21,OBSCENITY
195,21,"OFFENSE INVOLVING CHILDREN"
1472,21,"OTHER OFFENSE"
99,21,PROSTITUTION
162,21,"PUBLIC PEACE VIOLATION"
788,21,ROBBERY
52,21,"SEX OFFENSE"
12,21,STALKING
4653,21,THEFT
230,21,"WEAPONS VIOLATION"
32,22,ARSON
966,22,ASSAULT
2752,22,BATTERY
954,22,BURGLARY
3,22,"CONCEALED CARRY LICENSE VIOLATION"
93,22,"CRIM SEXUAL ASSAULT"
1609,22,"CRIMINAL DAMAGE"
475,22,"CRIMINAL TRESPASS"
1015,22,"DECEPTIVE PRACTICE"
3,22,GAMBLING
27,22,HOMICIDE
66,22,"INTERFERENCE WITH PUBLIC OFFICER"
9,22,INTIMIDATION
17,22,KIDNAPPING
24,22,"LIQUOR LAW VIOLATION"
