,:@computed_region_43wa_7qmu,:@computed_region_6mkv_f3dw,:@computed_region_awaf_s7ux,:@computed_region_bdys_3d7i,:@computed_region_d3ds_rm58,:@computed_region_d9mm_jgwp,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,arrest,beat,block,case_number,community_area,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,Date,Time (CT)
266,47,21202,47,510,239,19,25,42,False,0423,092XX S COMMERCIAL AVE,JC326495,46,OVER $500,004,False,06,11739595,0810,41.727872617,"{'latitude': '41.727872617', 'longitude': '-87.551207132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SIDEWALK,-87.551207132,THEFT,2019-07-05T16:13:31.000,10,1197746,1844398,2019,2019-07-05,16:13:31
267,32,21559,31,479,201,17,11,66,False,0722,003XX W MARQUETTE RD,JC326147,68,SIMPLE,007,True,08A,11738973,0560,41.772648748,"{'latitude': '41.772648748', 'longitude': '-87.633792439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.633792439,ASSAULT,2019-07-05T16:13:31.000,6,1175070,1860520,2019,2019-07-05,16:13:31
268,14,21572,36,98,142,16,30,30,False,1011,041XX W ROOSEVELT RD,JC326141,29,AGGRAVATED: HANDGUN,010,False,04A,11739290,051A,41.866128258,"{'latitude': '41.866128258', 'longitude': '-87.728249919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CONVENIENCE STORE,-87.728249919,ASSAULT,2019-07-05T16:13:31.000,24,1149064,1894388,2019,2019-07-05,16:13:31
269,46,22620,41,522,76,15,49,25,False,1214,010XX W HUBBARD ST,JC326121,24,TO VEHICLE,012,True,14,11738944,1320,41.890023888,"{'latitude': '41.890023888', 'longitude': '-87.653924856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.653924856,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,27,1169240,1903247,2019,2019-07-05,16:13:31
270,1,14924,29,706,108,23,37,59,False,0924,046XX S DAMEN AVE,JC326156,61,FROM BUILDING,009,False,06,11738934,0890,41.809445968,"{'latitude': '41.809445968', 'longitude': '-87.67496226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ATHLETIC CLUB,-87.67496226,THEFT,2019-07-05T16:13:31.000,12,1163737,1873840,2019,2019-07-05,16:13:31
271,23,22216,11,696,137,25,32,26,False,1533,050XX W WASHINGTON BLVD,JC326151,25,DOMESTIC BATTERY SIMPLE,015,True,08B,11738989,0486,41.881742321,"{'latitude': '41.881742321', 'longitude': '-87.750932635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE PORCH/HALLWAY,-87.750932635,BATTERY,2019-07-05T16:13:31.000,28,1142847,1900035,2019,2019-07-05,16:13:31
272,4,22260,53,332,277,18,60,9,False,0312,064XX S DR MARTIN LUTHER KING JR DR,JC326106,69,DOMESTIC BATTERY SIMPLE,003,True,08B,11739193,0486,41.777558327,"{'latitude': '41.777558327', 'longitude': '-87.615558249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.615558249,BATTERY,2019-07-05T16:13:31.000,20,1180029,1862350,2019,2019-07-05,16:13:31
273,44,22615,4,306,195,6,2,19,True,2533,049XX W GRAND AVE,JC326139,19,"THEFT/RECOVERY: TRUCK,BUS,MHOME",025,False,07,11741947,0935,41.915558404,"{'latitude': '41.915558404', 'longitude': '-87.750155002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARKING LOT/GARAGE(NON.RESID.),-87.750155002,MOTOR VEHICLE THEFT,2019-07-05T16:13:31.000,36,1142975,1912359,2019,2019-07-05,16:13:31
274,31,21554,17,572,230,20,59,70,False,0612,077XX S THROOP ST,JC326202,71,SIMPLE,006,True,08A,11739154,0560,41.753343268,"{'latitude': '41.753343268', 'longitude': '-87.65541951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.65541951,ASSAULT,2019-07-05T16:13:31.000,17,1169226,1853438,2019,2019-07-05,16:13:31
275,46,4299,41,150,65,16,5,24,True,1121,009XX N HOMAN AVE,JC326102,23,UNLAWFUL POSS OF HANDGUN,011,False,15,11739003,143A,41.897776061,"{'latitude': '41.897776061', 'longitude': '-87.71151043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLEY,-87.71151043,WEAPONS VIOLATION,2019-07-05T16:13:31.000,27,1153540,1905953,2019,2019-07-05,16:13:31
276,40,4449,16,648,19,5,22,46,False,1922,032XX N WOLCOTT AVE,JC326104,5,TO VEHICLE,019,False,14,11738963,1320,41.940931419,"{'latitude': '41.940931419', 'longitude': '-87.675971138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.675971138,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,47,1163095,1921751,2019,2019-07-05,16:13:31
277,23,14917,48,759,136,15,44,29,False,1231,010XX S LYTLE ST,JC326092,28,DOMESTIC BATTERY SIMPLE,012,True,08B,11739222,0486,41.868980135,"{'latitude': '41.868980135', 'longitude': '-87.657962371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.657962371,BATTERY,2019-07-05T16:13:31.000,28,1168201,1895570,2019,2019-07-05,16:13:31
278,14,21569,36,98,140,16,30,30,True,1134,032XX W ROOSEVELT RD,JC326110,29,RETAIL THEFT,011,False,06,11739005,0860,41.866389063,"{'latitude': '41.866389063', 'longitude': '-87.707276938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CONVENIENCE STORE,-87.707276938,THEFT,2019-07-05T16:13:31.000,24,1154776,1894524,2019,2019-07-05,16:13:31
