crimes,community_area,type
3821,"Belmont Cragin","OTHER OFFENSE"
388,"Belmont Cragin",PROSTITUTION
2,"Belmont Cragin","PUBLIC INDECENCY"
415,"Belmont Cragin","PUBLIC PEACE VIOLATION"
1804,"Belmont Cragin",ROBBERY
209,"Belmont Cragin","SEX OFFENSE"
22,"Belmont Cragin",STALKING
9590,"Belmont Cragin",THEFT
598,"Belmont Cragin","WEAPONS VIOLATION"
10,Beverly,ARSON
540,Beverly,ASSAULT
1071,Beverly,BATTERY
804,Beverly,BURGLARY
23,Beverly,"CRIM SEXUAL ASSAULT"
1260,Beverly,"CRIMINAL DAMAGE"
290,Beverly,"CRIMINAL TRESPASS"
796,Beverly,"DECEPTIVE PRACTICE"
7,Beverly,HOMICIDE
13,Beverly,"INTERFERENCE WITH PUBLIC OFFICER"
8,Beverly,INTIMIDATION
20,Beverly,KIDNAPPING
17,Beverly,"LIQUOR LAW VIOLATION"
359,Beverly,"MOTOR VEHICLE THEFT"
216,Beverly,NARCOTICS
2,Beverly,OBSCENITY
112,Beverly,"OFFENSE INVOLVING CHILDREN"
769,Beverly,"OTHER OFFENSE"
1,Beverly,PROSTITUTION
48,Beverly,"PUBLIC PEACE VIOLATION"
264,Beverly,ROBBERY
28,Beverly,"SEX OFFENSE"
8,Beverly,STALKING
2673,Beverly,THEFT
32,Beverly,"WEAPONS VIOLATION"
44,Bridgeport,ARSON
1200,Bridgeport,ASSAULT
2721,Bridgeport,BATTERY
1438,Bridgeport,BURGLARY
1,Bridgeport,"CONCEALED CARRY LICENSE VIOLATION"
58,Bridgeport,"CRIM SEXUAL ASSAULT"
2877,Bridgeport,"CRIMINAL DAMAGE"
424,Bridgeport,"CRIMINAL TRESPASS"
805,Bridgeport,"DECEPTIVE PRACTICE"
2,Bridgeport,GAMBLING
21,Bridgeport,HOMICIDE
1,Bridgeport,"HUMAN TRAFFICKING"
42,Bridgeport,"INTERFERENCE WITH PUBLIC OFFICER"
18,Bridgeport,INTIMIDATION
15,Bridgeport,KIDNAPPING
38,Bridgeport,"LIQUOR LAW VIOLATION"
859,Bridgeport,"MOTOR VEHICLE THEFT"
702,Bridgeport,NARCOTICS
2,Bridgeport,"NON - CRIMINAL"
2,Bridgeport,NON-CRIMINAL
1,Bridgeport,"NON-CRIMINAL (SUBJECT SPECIFIED)"
3,Bridgeport,OBSCENITY
114,Bridgeport,"OFFENSE INVOLVING CHILDREN"
1217,Bridgeport,"OTHER OFFENSE"
26,Bridgeport,PROSTITUTION
128,Bridgeport,"PUBLIC PEACE VIOLATION"
444,Bridgeport,ROBBERY
83,Bridgeport,"SEX OFFENSE"
14,Bridgeport,STALKING
3854,Bridgeport,THEFT
130,Bridgeport,"WEAPONS VIOLATION"
85,"Brighton Park",ARSON
1667,"Brighton Park",ASSAULT
5173,"Brighton Park",BATTERY
1932,"Brighton Park",BURGLARY
125,"Brighton Park","CRIM SEXUAL ASSAULT"
3626,"Brighton Park","CRIMINAL DAMAGE"
409,"Brighton Park","CRIMINAL TRESPASS"
920,"Brighton Park","DECEPTIVE PRACTICE"
75,"Brighton Park",HOMICIDE
104,"Brighton Park","INTERFERENCE WITH PUBLIC OFFICER"
19,"Brighton Park",INTIMIDATION
39,"Brighton Park",KIDNAPPING
71,"Brighton Park","LIQUOR LAW VIOLATION"
2119,"Brighton Park","MOTOR VEHICLE THEFT"
1940,"Brighton Park",NARCOTICS
1,"Brighton Park","NON - CRIMINAL"
7,"Brighton Park",OBSCENITY
271,"Brighton Park","OFFENSE INVOLVING CHILDREN"
1,"Brighton Park","OTHER NARCOTIC VIOLATION"
1773,"Brighton Park","OTHER OFFENSE"
406,"Brighton Park",PROSTITUTION
1,"Brighton Park","PUBLIC INDECENCY"
349,"Brighton Park","PUBLIC PEACE VIOLATION"
1018,"Brighton Park",ROBBERY
153,"Brighton Park","SEX OFFENSE"
23,"Brighton Park",STALKING
3952,"Brighton Park",THEFT
372,"Brighton Park","WEAPONS VIOLATION"
11,Burnside,ARSON
321,Burnside,ASSAULT
753,Burnside,BATTERY
353,Burnside,BURGLARY
1,Burnside,"CONCEALED CARRY LICENSE VIOLATION"
22,Burnside,"CRIM SEXUAL ASSAULT"
523,Burnside,"CRIMINAL DAMAGE"
49,Burnside,"CRIMINAL TRESPASS"
126,Burnside,"DECEPTIVE PRACTICE"
25,Burnside,GAMBLING
12,Burnside,HOMICIDE
16,Burnside,"INTERFERENCE WITH PUBLIC OFFICER"
1,Burnside,INTIMIDATION
3,Burnside,KIDNAPPING
2,Burnside,"LIQUOR LAW VIOLATION"
190,Burnside,"MOTOR VEHICLE THEFT"
335,Burnside,NARCOTICS
34,Burnside,"OFFENSE INVOLVING CHILDREN"
279,Burnside,"OTHER OFFENSE"
1,Burnside,PROSTITUTION
34,Burnside,"PUBLIC PEACE VIOLATION"
162,Burnside,ROBBERY
4,Burnside,"SEX OFFENSE"
2,Burnside,STALKING
607,Burnside,THEFT
97,Burnside,"WEAPONS VIOLATION"
16,"Calumet Heights",ARSON
1047,"Calumet Heights",ASSAULT
2576,"Calumet Heights",BATTERY
1193,"Calumet Heights",BURGLARY
2,"Calumet Heights","CONCEALED CARRY LICENSE VIOLATION"
71,"Calumet Heights","CRIM SEXUAL ASSAULT"
1949,"Calumet Heights","CRIMINAL DAMAGE"
280,"Calumet Heights","CRIMINAL TRESPASS"
807,"Calumet Heights","DECEPTIVE PRACTICE"
8,"Calumet Heights",GAMBLING
17,"Calumet Heights",HOMICIDE
40,"Calumet Heights","INTERFERENCE WITH PUBLIC OFFICER"
10,"Calumet Heights",INTIMIDATION
16,"Calumet Heights",KIDNAPPING
14,"Calumet Heights","LIQUOR LAW VIOLATION"
957,"Calumet Heights","MOTOR VEHICLE THEFT"
671,"Calumet Heights",NARCOTICS
2,"Calumet Heights",OBSCENITY
125,"Calumet Heights","OFFENSE INVOLVING CHILDREN"
1102,"Calumet Heights","OTHER OFFENSE"
1,"Calumet Heights",PROSTITUTION
92,"Calumet Heights","PUBLIC PEACE VIOLATION"
727,"Calumet Heights",ROBBERY
29,"Calumet Heights","SEX OFFENSE"
15,"Calumet Heights",STALKING
3461,"Calumet Heights",THEFT
251,"Calumet Heights","WEAPONS VIOLATION"
67,Chatham,ARSON
4525,Chatham,ASSAULT
12204,Chatham,BATTERY
3806,Chatham,BURGLARY
8,Chatham,"CONCEALED CARRY LICENSE VIOLATION"
290,Chatham,"CRIM SEXUAL ASSAULT"
6232,Chatham,"CRIMINAL DAMAGE"
1468,Chatham,"CRIMINAL TRESPASS"
3201,Chatham,"DECEPTIVE PRACTICE"
54,Chatham,GAMBLING
146,Chatham,HOMICIDE
1,Chatham,"HUMAN TRAFFICKING"
243,Chatham,"INTERFERENCE WITH PUBLIC OFFICER"
20,Chatham,INTIMIDATION
49,Chatham,KIDNAPPING
26,Chatham,"LIQUOR LAW VIOLATION"
2720,Chatham,"MOTOR VEHICLE THEFT"
4445,Chatham,NARCOTICS
2,Chatham,NON-CRIMINAL
6,Chatham,OBSCENITY
467,Chatham,"OFFENSE INVOLVING CHILDREN"
1,Chatham,"OTHER NARCOTIC VIOLATION"
3755,Chatham,"OTHER OFFENSE"
139,Chatham,PROSTITUTION
3,Chatham,"PUBLIC INDECENCY"
358,Chatham,"PUBLIC PEACE VIOLATION"
3236,Chatham,ROBBERY
122,Chatham,"SEX OFFENSE"
60,Chatham,STALKING
13890,Chatham,THEFT
1000,Chatham,"WEAPONS VIOLATION"
127,"Chicago Lawn",ARSON
4739,"Chicago Lawn",ASSAULT
13376,"Chicago Lawn",BATTERY
5430,"Chicago Lawn",BURGLARY
4,"Chicago Lawn","CONCEALED CARRY LICENSE VIOLATION"
353,"Chicago Lawn","CRIM SEXUAL ASSAULT"
7578,"Chicago Lawn","CRIMINAL DAMAGE"
1456,"Chicago Lawn","CRIMINAL TRESPASS"
2241,"Chicago Lawn","DECEPTIVE PRACTICE"
181,"Chicago Lawn",GAMBLING
164,"Chicago Lawn",HOMICIDE
337,"Chicago Lawn","INTERFERENCE WITH PUBLIC OFFICER"
26,"Chicago Lawn",INTIMIDATION
63,"Chicago Lawn",KIDNAPPING
56,"Chicago Lawn","LIQUOR LAW VIOLATION"
3306,"Chicago Lawn","MOTOR VEHICLE THEFT"
7011,"Chicago Lawn",NARCOTICS
5,"Chicago Lawn","NON - CRIMINAL"
6,"Chicago Lawn",NON-CRIMINAL
12,"Chicago Lawn",OBSCENITY
633,"Chicago Lawn","OFFENSE INVOLVING CHILDREN"
4448,"Chicago Lawn","OTHER OFFENSE"
288,"Chicago Lawn",PROSTITUTION
869,"Chicago Lawn","PUBLIC PEACE VIOLATION"
3201,"Chicago Lawn",ROBBERY
220,"Chicago Lawn","SEX OFFENSE"
24,"Chicago Lawn",STALKING
10462,"Chicago Lawn",THEFT
1169,"Chicago Lawn","WEAPONS VIOLATION"
20,Clearing,ARSON
624,Clearing,ASSAULT
1688,Clearing,BATTERY
878,Clearing,BURGLARY
39,Clearing,"CRIM SEXUAL ASSAULT"
1689,Clearing,"CRIMINAL DAMAGE"
174,Clearing,"CRIMINAL TRESPASS"
674,Clearing,"DECEPTIVE PRACTICE"
2,Clearing,GAMBLING
6,Clearing,HOMICIDE
20,Clearing,"INTERFERENCE WITH PUBLIC OFFICER"
11,Clearing,INTIMIDATION
