crimes,community_area,type
3936,"Morgan Park",BATTERY
1393,"Morgan Park",BURGLARY
2,"Morgan Park","CONCEALED CARRY LICENSE VIOLATION"
80,"Morgan Park","CRIM SEXUAL ASSAULT"
2504,"Morgan Park","CRIMINAL DAMAGE"
544,"Morgan Park","CRIMINAL TRESPASS"
1313,"Morgan Park","DECEPTIVE PRACTICE"
22,"Morgan Park",GAMBLING
48,"Morgan Park",HOMICIDE
76,"Morgan Park","INTERFERENCE WITH PUBLIC OFFICER"
14,"Morgan Park",INTIMIDATION
37,"Morgan Park",KIDNAPPING
11,"Morgan Park","LIQUOR LAW VIOLATION"
861,"Morgan Park","MOTOR VEHICLE THEFT"
1472,"Morgan Park",NARCOTICS
1,"Morgan Park",NON-CRIMINAL
4,"Morgan Park",OBSCENITY
266,"Morgan Park","OFFENSE INVOLVING CHILDREN"
1650,"Morgan Park","OTHER OFFENSE"
1,"Morgan Park",PROSTITUTION
2,"Morgan Park","PUBLIC INDECENCY"
204,"Morgan Park","PUBLIC PEACE VIOLATION"
623,"Morgan Park",ROBBERY
71,"Morgan Park","SEX OFFENSE"
9,"Morgan Park",STALKING
5074,"Morgan Park",THEFT
283,"Morgan Park","WEAPONS VIOLATION"
5,"Mount Greenwood",ARSON
394,"Mount Greenwood",ASSAULT
848,"Mount Greenwood",BATTERY
254,"Mount Greenwood",BURGLARY
21,"Mount Greenwood","CRIM SEXUAL ASSAULT"
817,"Mount Greenwood","CRIMINAL DAMAGE"
198,"Mount Greenwood","CRIMINAL TRESPASS"
501,"Mount Greenwood","DECEPTIVE PRACTICE"
1,"Mount Greenwood",GAMBLING
1,"Mount Greenwood",HOMICIDE
10,"Mount Greenwood","INTERFERENCE WITH PUBLIC OFFICER"
7,"Mount Greenwood",INTIMIDATION
40,"Mount Greenwood",KIDNAPPING
23,"Mount Greenwood","LIQUOR LAW VIOLATION"
112,"Mount Greenwood","MOTOR VEHICLE THEFT"
194,"Mount Greenwood",NARCOTICS
1,"Mount Greenwood",OBSCENITY
144,"Mount Greenwood","OFFENSE INVOLVING CHILDREN"
519,"Mount Greenwood","OTHER OFFENSE"
31,"Mount Greenwood","PUBLIC PEACE VIOLATION"
61,"Mount Greenwood",ROBBERY
18,"Mount Greenwood","SEX OFFENSE"
5,"Mount Greenwood",STALKING
1500,"Mount Greenwood",THEFT
16,"Mount Greenwood","WEAPONS VIOLATION"
34,"Near North Side",ARSON
3678,"Near North Side",ASSAULT
12207,"Near North Side",BATTERY
2022,"Near North Side",BURGLARY
9,"Near North Side","CONCEALED CARRY LICENSE VIOLATION"
540,"Near North Side","CRIM SEXUAL ASSAULT"
5641,"Near North Side","CRIMINAL DAMAGE"
4098,"Near North Side","CRIMINAL TRESPASS"
12523,"Near North Side","DECEPTIVE PRACTICE"
35,"Near North Side",GAMBLING
39,"Near North Side",HOMICIDE
213,"Near North Side","INTERFERENCE WITH PUBLIC OFFICER"
52,"Near North Side",INTIMIDATION
34,"Near North Side",KIDNAPPING
285,"Near North Side","LIQUOR LAW VIOLATION"
2177,"Near North Side","MOTOR VEHICLE THEFT"
2429,"Near North Side",NARCOTICS
1,"Near North Side","NON - CRIMINAL"
12,"Near North Side",NON-CRIMINAL
11,"Near North Side",OBSCENITY
221,"Near North Side","OFFENSE INVOLVING CHILDREN"
6,"Near North Side","OTHER NARCOTIC VIOLATION"
3191,"Near North Side","OTHER OFFENSE"
606,"Near North Side",PROSTITUTION
10,"Near North Side","PUBLIC INDECENCY"
601,"Near North Side","PUBLIC PEACE VIOLATION"
2746,"Near North Side",ROBBERY
286,"Near North Side","SEX OFFENSE"
79,"Near North Side",STALKING
47246,"Near North Side",THEFT
321,"Near North Side","WEAPONS VIOLATION"
12,"Near South Side",ARSON
918,"Near South Side",ASSAULT
2470,"Near South Side",BATTERY
519,"Near South Side",BURGLARY
2,"Near South Side","CONCEALED CARRY LICENSE VIOLATION"
77,"Near South Side","CRIM SEXUAL ASSAULT"
1506,"Near South Side","CRIMINAL DAMAGE"
937,"Near South Side","CRIMINAL TRESPASS"
1721,"Near South Side","DECEPTIVE PRACTICE"
1,"Near South Side",GAMBLING
11,"Near South Side",HOMICIDE
33,"Near South Side","INTERFERENCE WITH PUBLIC OFFICER"
5,"Near South Side",INTIMIDATION
10,"Near South Side",KIDNAPPING
21,"Near South Side","LIQUOR LAW VIOLATION"
635,"Near South Side","MOTOR VEHICLE THEFT"
355,"Near South Side",NARCOTICS
3,"Near South Side",NON-CRIMINAL
6,"Near South Side",OBSCENITY
88,"Near South Side","OFFENSE INVOLVING CHILDREN"
2,"Near South Side","OTHER NARCOTIC VIOLATION"
996,"Near South Side","OTHER OFFENSE"
19,"Near South Side",PROSTITUTION
74,"Near South Side","PUBLIC PEACE VIOLATION"
500,"Near South Side",ROBBERY
57,"Near South Side","SEX OFFENSE"
30,"Near South Side",STALKING
6089,"Near South Side",THEFT
53,"Near South Side","WEAPONS VIOLATION"
37,"Near West Side",ARSON
4835,"Near West Side",ASSAULT
11576,"Near West Side",BATTERY
2842,"Near West Side",BURGLARY
9,"Near West Side","CONCEALED CARRY LICENSE VIOLATION"
416,"Near West Side","CRIM SEXUAL ASSAULT"
7703,"Near West Side","CRIMINAL DAMAGE"
2972,"Near West Side","CRIMINAL TRESPASS"
5505,"Near West Side","DECEPTIVE PRACTICE"
75,"Near West Side",GAMBLING
92,"Near West Side",HOMICIDE
6,"Near West Side","HUMAN TRAFFICKING"
137,"Near West Side","INTERFERENCE WITH PUBLIC OFFICER"
54,"Near West Side",INTIMIDATION
27,"Near West Side",KIDNAPPING
97,"Near West Side","LIQUOR LAW VIOLATION"
3885,"Near West Side","MOTOR VEHICLE THEFT"
3272,"Near West Side",NARCOTICS
1,"Near West Side","NON - CRIMINAL"
7,"Near West Side",NON-CRIMINAL
16,"Near West Side",OBSCENITY
580,"Near West Side","OFFENSE INVOLVING CHILDREN"
2,"Near West Side","OTHER NARCOTIC VIOLATION"
4175,"Near West Side","OTHER OFFENSE"
123,"Near West Side",PROSTITUTION
2,"Near West Side","PUBLIC INDECENCY"
579,"Near West Side","PUBLIC PEACE VIOLATION"
3172,"Near West Side",ROBBERY
278,"Near West Side","SEX OFFENSE"
58,"Near West Side",STALKING
30425,"Near West Side",THEFT
402,"Near West Side","WEAPONS VIOLATION"
151,"New City",ARSON
4083,"New City",ASSAULT
11331,"New City",BATTERY
3033,"New City",BURGLARY
1,"New City","CONCEALED CARRY LICENSE VIOLATION"
228,"New City","CRIM SEXUAL ASSAULT"
5674,"New City","CRIMINAL DAMAGE"
1019,"New City","CRIMINAL TRESPASS"
1513,"New City","DECEPTIVE PRACTICE"
101,"New City",GAMBLING
177,"New City",HOMICIDE
356,"New City","INTERFERENCE WITH PUBLIC OFFICER"
35,"New City",INTIMIDATION
37,"New City",KIDNAPPING
105,"New City","LIQUOR LAW VIOLATION"
2408,"New City","MOTOR VEHICLE THEFT"
6181,"New City",NARCOTICS
3,"New City",NON-CRIMINAL
1,"New City","NON-CRIMINAL (SUBJECT SPECIFIED)"
7,"New City",OBSCENITY
484,"New City","OFFENSE INVOLVING CHILDREN"
1,"New City","OTHER NARCOTIC VIOLATION"
3254,"New City","OTHER OFFENSE"
274,"New City",PROSTITUTION
3,"New City","PUBLIC INDECENCY"
578,"New City","PUBLIC PEACE VIOLATION"
1899,"New City",ROBBERY
193,"New City","SEX OFFENSE"
25,"New City",STALKING
9143,"New City",THEFT
1187,"New City","WEAPONS VIOLATION"
22,"North Center",ARSON
580,"North Center",ASSAULT
1416,"North Center",BATTERY
1496,"North Center",BURGLARY
59,"North Center","CRIM SEXUAL ASSAULT"
1888,"North Center","CRIMINAL DAMAGE"
394,"North Center","CRIMINAL TRESPASS"
1138,"North Center","DECEPTIVE PRACTICE"
1,"North Center",GAMBLING
2,"North Center",HOMICIDE
19,"North Center","INTERFERENCE WITH PUBLIC OFFICER"
17,"North Center",INTIMIDATION
10,"North Center",KIDNAPPING
26,"North Center","LIQUOR LAW VIOLATION"
735,"North Center","MOTOR VEHICLE THEFT"
392,"North Center",NARCOTICS
3,"North Center",NON-CRIMINAL
1,"North Center",OBSCENITY
81,"North Center","OFFENSE INVOLVING CHILDREN"
692,"North Center","OTHER OFFENSE"
7,"North Center",PROSTITUTION
1,"North Center","PUBLIC INDECENCY"
75,"North Center","PUBLIC PEACE VIOLATION"
373,"North Center",ROBBERY
59,"North Center","SEX OFFENSE"
17,"North Center",STALKING
5431,"North Center",THEFT
45,"North Center","WEAPONS VIOLATION"
154,"North Lawndale",ARSON
5813,"North Lawndale",ASSAULT
19251,"North Lawndale",BATTERY
3727,"North Lawndale",BURGLARY
17,"North Lawndale","CONCEALED CARRY LICENSE VIOLATION"
420,"North Lawndale","CRIM SEXUAL ASSAULT"
8269,"North Lawndale","CRIMINAL DAMAGE"
1822,"North Lawndale","CRIMINAL TRESPASS"
1983,"North Lawndale","DECEPTIVE PRACTICE"
446,"North Lawndale",GAMBLING
217,"North Lawndale",HOMICIDE
423,"North Lawndale","INTERFERENCE WITH PUBLIC OFFICER"
25,"North Lawndale",INTIMIDATION
32,"North Lawndale",KIDNAPPING
64,"North Lawndale","LIQUOR LAW VIOLATION"
3154,"North Lawndale","MOTOR VEHICLE THEFT"
18856,"North Lawndale",NARCOTICS
2,"North Lawndale","NON - CRIMINAL"
2,"North Lawndale",NON-CRIMINAL
11,"North Lawndale",OBSCENITY
617,"North Lawndale","OFFENSE INVOLVING CHILDREN"
4933,"North Lawndale","OTHER OFFENSE"
191,"North Lawndale",PROSTITUTION
749,"North Lawndale","PUBLIC PEACE VIOLATION"
3838,"North Lawndale",ROBBERY
213,"North Lawndale","SEX OFFENSE"
43,"North Lawndale",STALKING
10538,"North Lawndale",THEFT
1840,"North Lawndale","WEAPONS VIOLATION"
16,"North Park",ARSON
436,"North Park",ASSAULT
1146,"North Park",BATTERY
983,"North Park",BURGLARY
49,"North Park","CRIM SEXUAL ASSAULT"
1152,"North Park","CRIMINAL DAMAGE"
212,"North Park","CRIMINAL TRESPASS"
496,"North Park","DECEPTIVE PRACTICE"
8,"North Park",GAMBLING
6,"North Park",HOMICIDE
10,"North Park","INTERFERENCE WITH PUBLIC OFFICER"
7,"North Park",INTIMIDATION
6,"North Park",KIDNAPPING
25,"North Park","LIQUOR LAW VIOLATION"
471,"North Park","MOTOR VEHICLE THEFT"
333,"North Park",NARCOTICS
2,"North Park",NON-CRIMINAL
2,"North Park",OBSCENITY
79,"North Park","OFFENSE INVOLVING CHILDREN"
562,"North Park","OTHER OFFENSE"
13,"North Park",PROSTITUTION
33,"North Park","PUBLIC PEACE VIOLATION"
244,"North Park",ROBBERY
49,"North Park","SEX OFFENSE"
10,"North Park",STALKING
2733,"North Park",THEFT
58,"North Park","WEAPONS VIOLATION"
15,"Norwood Park",ARSON
737,"Norwood Park",ASSAULT
1777,"Norwood Park",BATTERY
883,"Norwood Park",BURGLARY
49,"Norwood Park","CRIM SEXUAL ASSAULT"
1682,"Norwood Park","CRIMINAL DAMAGE"
369,"Norwood Park","CRIMINAL TRESPASS"
954,"Norwood Park","DECEPTIVE PRACTICE"
4,"Norwood Park",HOMICIDE
1,"Norwood Park","HUMAN TRAFFICKING"
13,"Norwood Park","INTERFERENCE WITH PUBLIC OFFICER"
8,"Norwood Park",INTIMIDATION
31,"Norwood Park",KIDNAPPING
18,"Norwood Park","LIQUOR LAW VIOLATION"
338,"Norwood Park","MOTOR VEHICLE THEFT"
321,"Norwood Park",NARCOTICS
2,"Norwood Park",NON-CRIMINAL
3,"Norwood Park",OBSCENITY
111,"Norwood Park","OFFENSE INVOLVING CHILDREN"
998,"Norwood Park","OTHER OFFENSE"
7,"Norwood Park",PROSTITUTION
67,"Norwood Park","PUBLIC PEACE VIOLATION"
100,"Norwood Park",ROBBERY
76,"Norwood Park","SEX OFFENSE"
10,"Norwood Park",STALKING
3023,"Norwood Park",THEFT
27,"Norwood Park","WEAPONS VIOLATION"
3,O'Hare,ARSON
604,O'Hare,ASSAULT
1552,O'Hare,BATTERY
178,O'Hare,BURGLARY
70,O'Hare,"CONCEALED CARRY LICENSE VIOLATION"
25,O'Hare,"CRIM SEXUAL ASSAULT"
1046,O'Hare,"CRIMINAL DAMAGE"
1231,O'Hare,"CRIMINAL TRESPASS"
1488,O'Hare,"DECEPTIVE PRACTICE"
4,O'Hare,HOMICIDE
19,O'Hare,"INTERFERENCE WITH PUBLIC OFFICER"
2,O'Hare,INTIMIDATION
5,O'Hare,KIDNAPPING
6,O'Hare,"LIQUOR LAW VIOLATION"
616,O'Hare,"MOTOR VEHICLE THEFT"
1297,O'Hare,NARCOTICS
1,O'Hare,"NON - CRIMINAL"
18,O'Hare,NON-CRIMINAL
2,O'Hare,OBSCENITY
41,O'Hare,"OFFENSE INVOLVING CHILDREN"
1,O'Hare,"OTHER NARCOTIC VIOLATION"
3023,O'Hare,"OTHER OFFENSE"
17,O'Hare,PROSTITUTION
163,O'Hare,"PUBLIC PEACE VIOLATION"
72,O'Hare,ROBBERY
45,O'Hare,"SEX OFFENSE"
8,O'Hare,STALKING
4746,O'Hare,THEFT
58,O'Hare,"WEAPONS VIOLATION"
8,Oakland,ARSON
552,Oakland,ASSAULT
1354,Oakland,BATTERY
284,Oakland,BURGLARY
1,Oakland,"CONCEALED CARRY LICENSE VIOLATION"
38,Oakland,"CRIM SEXUAL ASSAULT"
845,Oakland,"CRIMINAL DAMAGE"
278,Oakland,"CRIMINAL TRESPASS"
253,Oakland,"DECEPTIVE PRACTICE"
12,Oakland,GAMBLING
13,Oakland,HOMICIDE
3,Oakland,"INTERFERENCE WITH PUBLIC OFFICER"
3,Oakland,INTIMIDATION
4,Oakland,KIDNAPPING
1,Oakland,"LIQUOR LAW VIOLATION"
306,Oakland,"MOTOR VEHICLE THEFT"
237,Oakland,NARCOTICS
1,Oakland,NON-CRIMINAL
3,Oakland,OBSCENITY
70,Oakland,"OFFENSE INVOLVING CHILDREN"
591,Oakland,"OTHER OFFENSE"
31,Oakland,"PUBLIC PEACE VIOLATION"
220,Oakland,ROBBERY
27,Oakland,"SEX OFFENSE"
5,Oakland,STALKING
1347,Oakland,THEFT
82,Oakland,"WEAPONS VIOLATION"
57,"Portage Park",ARSON
2082,"Portage Park",ASSAULT
5670,"Portage Park",BATTERY
2595,"Portage Park",BURGLARY
3,"Portage Park","CONCEALED CARRY LICENSE VIOLATION"
135,"Portage Park","CRIM SEXUAL ASSAULT"
4575,"Portage Park","CRIMINAL DAMAGE"
746,"Portage Park","CRIMINAL TRESPASS"
1907,"Portage Park","DECEPTIVE PRACTICE"
2,"Portage Park",GAMBLING
19,"Portage Park",HOMICIDE
1,"Portage Park","HUMAN TRAFFICKING"
82,"Portage Park","INTERFERENCE WITH PUBLIC OFFICER"
27,"Portage Park",INTIMIDATION
47,"Portage Park",KIDNAPPING
73,"Portage Park","LIQUOR LAW VIOLATION"
2106,"Portage Park","MOTOR VEHICLE THEFT"
1827,"Portage Park",NARCOTICS
1,"Portage Park","NON - CRIMINAL"
1,"Portage Park",NON-CRIMINAL
11,"Portage Park",OBSCENITY
294,"Portage Park","OFFENSE INVOLVING CHILDREN"
1,"Portage Park","OTHER NARCOTIC VIOLATION"
2667,"Portage Park","OTHER OFFENSE"
24,"Portage Park",PROSTITUTION
1,"Portage Park","PUBLIC INDECENCY"
190,"Portage Park","PUBLIC PEACE VIOLATION"
797,"Portage Park",ROBBERY
144,"Portage Park","SEX OFFENSE"
22,"Portage Park",STALKING
8269,"Portage Park",THEFT
241,"Portage Park","WEAPONS VIOLATION"
13,Pullman,ARSON
1063,Pullman,ASSAULT
2252,Pullman,BATTERY
534,Pullman,BURGLARY
4,Pullman,"CONCEALED CARRY LICENSE VIOLATION"
48,Pullman,"CRIM SEXUAL ASSAULT"
1201,Pullman,"CRIMINAL DAMAGE"
375,Pullman,"CRIMINAL TRESPASS"
531,Pullman,"DECEPTIVE PRACTICE"
9,Pullman,GAMBLING
15,Pullman,HOMICIDE
56,Pullman,"INTERFERENCE WITH PUBLIC OFFICER"
24,Pullman,INTIMIDATION
15,Pullman,KIDNAPPING
2,Pullman,"LIQUOR LAW VIOLATION"
480,Pullman,"MOTOR VEHICLE THEFT"
457,Pullman,NARCOTICS
2,Pullman,"NON - CRIMINAL"
3,Pullman,NON-CRIMINAL
1,Pullman,"NON-CRIMINAL (SUBJECT SPECIFIED)"
2,Pullman,OBSCENITY
152,Pullman,"OFFENSE INVOLVING CHILDREN"
862,Pullman,"OTHER OFFENSE"
2,Pullman,PROSTITUTION
2,Pullman,"PUBLIC INDECENCY"
113,Pullman,"PUBLIC PEACE VIOLATION"
299,Pullman,ROBBERY
33,Pullman,"SEX OFFENSE"
15,Pullman,STALKING
2337,Pullman,THEFT
196,Pullman,"WEAPONS VIOLATION"
18,Riverdale,ARSON
1413,Riverdale,ASSAULT
3745,Riverdale,BATTERY
599,Riverdale,BURGLARY
2,Riverdale,"CONCEALED CARRY LICENSE VIOLATION"
76,Riverdale,"CRIM SEXUAL ASSAULT"
1620,Riverdale,"CRIMINAL DAMAGE"
538,Riverdale,"CRIMINAL TRESPASS"
254,Riverdale,"DECEPTIVE PRACTICE"
10,Riverdale,GAMBLING
42,Riverdale,HOMICIDE
54,Riverdale,"INTERFERENCE WITH PUBLIC OFFICER"
3,Riverdale,INTIMIDATION
7,Riverdale,KIDNAPPING
9,Riverdale,"LIQUOR LAW VIOLATION"
408,Riverdale,"MOTOR VEHICLE THEFT"
666,Riverdale,NARCOTICS
4,Riverdale,OBSCENITY
132,Riverdale,"OFFENSE INVOLVING CHILDREN"
932,Riverdale,"OTHER OFFENSE"
1,Riverdale,"PUBLIC INDECENCY"
87,Riverdale,"PUBLIC PEACE VIOLATION"
428,Riverdale,ROBBERY
52,Riverdale,"SEX OFFENSE"
9,Riverdale,STALKING
1414,Riverdale,THEFT
331,Riverdale,"WEAPONS VIOLATION"
34,"Rogers Park",ARSON
2620,"Rogers Park",ASSAULT
7644,"Rogers Park",BATTERY
1914,"Rogers Park",BURGLARY
230,"Rogers Park","CRIM SEXUAL ASSAULT"
4606,"Rogers Park","CRIMINAL DAMAGE"
1422,"Rogers Park","CRIMINAL TRESPASS"
1859,"Rogers Park","DECEPTIVE PRACTICE"
28,"Rogers Park",GAMBLING
46,"Rogers Park",HOMICIDE
177,"Rogers Park","INTERFERENCE WITH PUBLIC OFFICER"
16,"Rogers Park",INTIMIDATION
16,"Rogers Park",KIDNAPPING
78,"Rogers Park","LIQUOR LAW VIOLATION"
1186,"Rogers Park","MOTOR VEHICLE THEFT"
2638,"Rogers Park",NARCOTICS
2,"Rogers Park",NON-CRIMINAL
10,"Rogers Park",OBSCENITY
248,"Rogers Park","OFFENSE INVOLVING CHILDREN"
1,"Rogers Park","OTHER NARCOTIC VIOLATION"
2667,"Rogers Park","OTHER OFFENSE"
132,"Rogers Park",PROSTITUTION
1,"Rogers Park","PUBLIC INDECENCY"
290,"Rogers Park","PUBLIC PEACE VIOLATION"
1552,"Rogers Park",ROBBERY
228,"Rogers Park","SEX OFFENSE"
26,"Rogers Park",STALKING
8600,"Rogers Park",THEFT
393,"Rogers Park","WEAPONS VIOLATION"
143,Roseland,ARSON
5792,Roseland,ASSAULT
15308,Roseland,BATTERY
5007,Roseland,BURGLARY
13,Roseland,"CONCEALED CARRY LICENSE VIOLATION"
363,Roseland,"CRIM SEXUAL ASSAULT"
8634,Roseland,"CRIMINAL DAMAGE"
1986,Roseland,"CRIMINAL TRESPASS"
2588,Roseland,"DECEPTIVE PRACTICE"
115,Roseland,GAMBLING
195,Roseland,HOMICIDE
3,Roseland,"HUMAN TRAFFICKING"
441,Roseland,"INTERFERENCE WITH PUBLIC OFFICER"
30,Roseland,INTIMIDATION
73,Roseland,KIDNAPPING
25,Roseland,"LIQUOR LAW VIOLATION"
3122,Roseland,"MOTOR VEHICLE THEFT"
6985,Roseland,NARCOTICS
1,Roseland,"NON - CRIMINAL"
7,Roseland,OBSCENITY
579,Roseland,"OFFENSE INVOLVING CHILDREN"
1,Roseland,"OTHER NARCOTIC VIOLATION"
4791,Roseland,"OTHER OFFENSE"
683,Roseland,PROSTITUTION
589,Roseland,"PUBLIC PEACE VIOLATION"
3385,Roseland,ROBBERY
178,Roseland,"SEX OFFENSE"
28,Roseland,STALKING
11346,Roseland,THEFT
1602,Roseland,"WEAPONS VIOLATION"
97,"South Chicago",ARSON
4443,"South Chicago",ASSAULT
11566,"South Chicago",BATTERY
3957,"South Chicago",BURGLARY
2,"South Chicago","CONCEALED CARRY LICENSE VIOLATION"
246,"South Chicago","CRIM SEXUAL ASSAULT"
5957,"South Chicago","CRIMINAL DAMAGE"
1144,"South Chicago","CRIMINAL TRESPASS"
1505,"South Chicago","DECEPTIVE PRACTICE"
56,"South Chicago",GAMBLING
123,"South Chicago",HOMICIDE
2,"South Chicago","HUMAN TRAFFICKING"
286,"South Chicago","INTERFERENCE WITH PUBLIC OFFICER"
35,"South Chicago",INTIMIDATION
51,"South Chicago",KIDNAPPING
47,"South Chicago","LIQUOR LAW VIOLATION"
1817,"South Chicago","MOTOR VEHICLE THEFT"
4296,"South Chicago",NARCOTICS
6,"South Chicago",OBSCENITY
583,"South Chicago","OFFENSE INVOLVING CHILDREN"
1,"South Chicago","OTHER NARCOTIC VIOLATION"
3659,"South Chicago","OTHER OFFENSE"
127,"South Chicago",PROSTITUTION
549,"South Chicago","PUBLIC PEACE VIOLATION"
1980,"South Chicago",ROBBERY
162,"South Chicago","SEX OFFENSE"
26,"South Chicago",STALKING
7327,"South Chicago",THEFT
1032,"South Chicago","WEAPONS VIOLATION"
30,"South Deering",ARSON
1709,"South Deering",ASSAULT
3741,"South Deering",BATTERY
1187,"South Deering",BURGLARY
4,"South Deering","CONCEALED CARRY LICENSE VIOLATION"
91,"South Deering","CRIM SEXUAL ASSAULT"
2418,"South Deering","CRIMINAL DAMAGE"
618,"South Deering","CRIMINAL TRESPASS"
819,"South Deering","DECEPTIVE PRACTICE"
14,"South Deering",GAMBLING
39,"South Deering",HOMICIDE
89,"South Deering","INTERFERENCE WITH PUBLIC OFFICER"
15,"South Deering",INTIMIDATION
14,"South Deering",KIDNAPPING
22,"South Deering","LIQUOR LAW VIOLATION"
819,"South Deering","MOTOR VEHICLE THEFT"
1146,"South Deering",NARCOTICS
1,"South Deering","NON - CRIMINAL"
2,"South Deering",NON-CRIMINAL
1,"South Deering",OBSCENITY
232,"South Deering","OFFENSE INVOLVING CHILDREN"
1383,"South Deering","OTHER OFFENSE"
5,"South Deering",PROSTITUTION
2,"South Deering","PUBLIC INDECENCY"
158,"South Deering","PUBLIC PEACE VIOLATION"
689,"South Deering",ROBBERY
46,"South Deering","SEX OFFENSE"
13,"South Deering",STALKING
4024,"South Deering",THEFT
352,"South Deering","WEAPONS VIOLATION"
126,"South Lawndale",ARSON
3506,"South Lawndale",ASSAULT
9934,"South Lawndale",BATTERY
2198,"South Lawndale",BURGLARY
5,"South Lawndale","CONCEALED CARRY LICENSE VIOLATION"
251,"South Lawndale","CRIM SEXUAL ASSAULT"
5721,"South Lawndale","CRIMINAL DAMAGE"
730,"South Lawndale","CRIMINAL TRESPASS"
1324,"South Lawndale","DECEPTIVE PRACTICE"
14,"South Lawndale",GAMBLING
111,"South Lawndale",HOMICIDE
144,"South Lawndale","INTERFERENCE WITH PUBLIC OFFICER"
78,"South Lawndale",INTIMIDATION
34,"South Lawndale",KIDNAPPING
252,"South Lawndale","LIQUOR LAW VIOLATION"
2956,"South Lawndale","MOTOR VEHICLE THEFT"
3634,"South Lawndale",NARCOTICS
1,"South Lawndale","NON - CRIMINAL"
4,"South Lawndale",NON-CRIMINAL
10,"South Lawndale",OBSCENITY
515,"South Lawndale","OFFENSE INVOLVING CHILDREN"
3305,"South Lawndale","OTHER OFFENSE"
209,"South Lawndale",PROSTITUTION
3,"South Lawndale","PUBLIC INDECENCY"
1297,"South Lawndale","PUBLIC PEACE VIOLATION"
2103,"South Lawndale",ROBBERY
261,"South Lawndale","SEX OFFENSE"
30,"South Lawndale",STALKING
7827,"South Lawndale",THEFT
876,"South Lawndale","WEAPONS VIOLATION"
99,"South Shore",ARSON
6931,"South Shore",ASSAULT
20612,"South Shore",BATTERY
8211,"South Shore",BURGLARY
5,"South Shore","CONCEALED CARRY LICENSE VIOLATION"
478,"South Shore","CRIM SEXUAL ASSAULT"
10421,"South Shore","CRIMINAL DAMAGE"
2127,"South Shore","CRIMINAL TRESPASS"
3371,"South Shore","DECEPTIVE PRACTICE"
126,"South Shore",GAMBLING
197,"South Shore",HOMICIDE
2,"South Shore","HUMAN TRAFFICKING"
380,"South Shore","INTERFERENCE WITH PUBLIC OFFICER"
25,"South Shore",INTIMIDATION
49,"South Shore",KIDNAPPING
33,"South Shore","LIQUOR LAW VIOLATION"
3443,"South Shore","MOTOR VEHICLE THEFT"
6957,"South Shore",NARCOTICS
1,"South Shore","NON - CRIMINAL"
1,"South Shore",NON-CRIMINAL
15,"South Shore",OBSCENITY
774,"South Shore","OFFENSE INVOLVING CHILDREN"
6884,"South Shore","OTHER OFFENSE"
314,"South Shore",PROSTITUTION
582,"South Shore","PUBLIC PEACE VIOLATION"
4184,"South Shore",ROBBERY
239,"South Shore","SEX OFFENSE"
49,"South Shore",STALKING
15039,"South Shore",THEFT
1325,"South Shore","WEAPONS VIOLATION"
25,Uptown,ARSON
2427,Uptown,ASSAULT
6466,Uptown,BATTERY
1550,Uptown,BURGLARY
1,Uptown,"CONCEALED CARRY LICENSE VIOLATION"
270,Uptown,"CRIM SEXUAL ASSAULT"
3367,Uptown,"CRIMINAL DAMAGE"
1288,Uptown,"CRIMINAL TRESPASS"
2757,Uptown,"DECEPTIVE PRACTICE"
15,Uptown,GAMBLING
48,Uptown,HOMICIDE
101,Uptown,"INTERFERENCE WITH PUBLIC OFFICER"
20,Uptown,INTIMIDATION
12,Uptown,KIDNAPPING
43,Uptown,"LIQUOR LAW VIOLATION"
1477,Uptown,"MOTOR VEHICLE THEFT"
3644,Uptown,NARCOTICS
5,Uptown,NON-CRIMINAL
6,Uptown,OBSCENITY
224,Uptown,"OFFENSE INVOLVING CHILDREN"
1,Uptown,"OTHER NARCOTIC VIOLATION"
2240,Uptown,"OTHER OFFENSE"
39,Uptown,PROSTITUTION
2,Uptown,"PUBLIC INDECENCY"
324,Uptown,"PUBLIC PEACE VIOLATION"
1169,Uptown,ROBBERY
197,Uptown,"SEX OFFENSE"
15,Uptown,STALKING
10090,Uptown,THEFT
257,Uptown,"WEAPONS VIOLATION"
33,"Washington Height",ARSON
2348,"Washington Height",ASSAULT
6112,"Washington Height",BATTERY
2252,"Washington Height",BURGLARY
5,"Washington Height","CONCEALED CARRY LICENSE VIOLATION"
165,"Washington Height","CRIM SEXUAL ASSAULT"
3982,"Washington Height","CRIMINAL DAMAGE"
924,"Washington Height","CRIMINAL TRESPASS"
1584,"Washington Height","DECEPTIVE PRACTICE"
56,"Washington Height",GAMBLING
77,"Washington Height",HOMICIDE
1,"Washington Height","HUMAN TRAFFICKING"
141,"Washington Height","INTERFERENCE WITH PUBLIC OFFICER"
8,"Washington Height",INTIMIDATION
50,"Washington Height",KIDNAPPING
10,"Washington Height","LIQUOR LAW VIOLATION"
1595,"Washington Height","MOTOR VEHICLE THEFT"
2513,"Washington Height",NARCOTICS
1,"Washington Height",NON-CRIMINAL
4,"Washington Height",OBSCENITY
332,"Washington Height","OFFENSE INVOLVING CHILDREN"
2521,"Washington Height","OTHER OFFENSE"
8,"Washington Height",PROSTITUTION
248,"Washington Height","PUBLIC PEACE VIOLATION"
1423,"Washington Height",ROBBERY
95,"Washington Height","SEX OFFENSE"
17,"Washington Height",STALKING
6223,"Washington Height",THEFT
